brand,years,mileage,transmission,price
Cadillac,2006,23398,Automatic,36995
Lexus,2018,22928,Automatic,54695
Buick,2015,128556,Automatic,8995
BMW,2019,679,Automatic,66990
GMC,2017,45412,Automatic,10995
Volkswagen,2011,127803,Automatic,4999
Chevrolet,2013,104234,Automatic,2999
Ford,2011,18628,Automatic,1999
Jeep,2017,65885,Automatic,24590
BMW,2018,14952,Automatic,25250
Ford,2017,2266,Manual,38899
Porsche,2011,76027,Automatic,24995
Honda,2016,32034,CVT,10500
Nissan,1994,146129,Automatic,5999
Acura,2009,148091,Automatic,9995
Acura,2017,55066,Automatic,34949
Mercury,2003,253446,Automatic,9980
Dodge,2011,204098,Automatic,5495
Lincoln,2003,201032,Automatic,5995
Hummer,2003,265485,Automatic,8975
Scion,2012,68839,Automatic,8791
Aston,2017,9229,Automatic,124981
Cadillac,2003,218661,Automatic,2999
Buick,2017,29742,Automatic,16777
Lincoln,2017,29194,CVT,19795
Acura,2010,164972,Automatic,9960
Cadillac,2008,76786,Automatic,9995
FIAT,2015,52626,Automatic,7500
Jaguar,2007,136039,Automatic,5994
Nissan,2011,99433,CVT,12995
Volvo,2019,16611,Automatic,55000
Ford,2008,113389,Automatic,4985
Nissan,2015,34344,CVT,11995
Suzuki,2010,86482,CVT,5904
Lincoln,2007,125542,Automatic,15995
Chevrolet,2016,3254,CVT,6999
Nissan,1996,299528,Automatic,6995
Cadillac,2005,83502,Automatic,6495
Mercedes-Benz,2006,18109,Automatic,6500
Lexus,2006,223662,Automatic,4288
Toyota,2007,144644,Automatic,7445
Lamborghini,2020,131938,Automatic,239900
Buick,2009,57055,Automatic,8490
Ford,2010,212082,Automatic,4500
Toyota,2018,50439,CVT,14995
Volvo,2019,21623,Automatic,34995
Volkswagen,2002,229192,Automatic,5900
Chrysler,2015,121436,Automatic,5900
Mercedes-Benz,2016,7567,Automatic,68800
Mercedes-Benz,2008,226082,Automatic,3995
Hyundai,2019,61861,Manual,NotPriced
GMC,2006,182705,Automatic,3995
Saturn,2008,161592,Automatic,2995
Buick,2018,3282,Automatic,18000
Volvo,2008,12504,Automatic,6995
Honda,2018,17813,Manual,28495
Cadillac,2019,371679,Automatic,25500
Mitsubishi,2015,327,CVT,8500
Volkswagen,2018,48952,Automatic,24995
Volkswagen,2006,170417,Automatic,7777
Lamborghini,2019,944483,Automatic,235887
Maserati,2017,35401,Automatic,37500
Pontiac,2009,54655,Automatic,10999
Acura,2017,379,Automatic,35995
Buick,2018,1991,Automatic,23995
Lincoln,2019,36737,Automatic,29998
Audi,2018,3213,Automatic,25487
Buick,1995,65969,Automatic,13900
Chrysler,2005,127714,Manual,6880
Cadillac,2019,11168,Automatic,27049
Mitsubishi,1994,178599,Automatic,8500
Chrysler,2007,230369,Automatic,1750
Rolls-Royce,2006,31096,Automatic,60000
Chrysler,2005,108854,Automatic,5705
Nissan,1990,160746,Automatic,5995
Volkswagen,2012,11839,Automatic,10650
Ford,2016,35161,Manual,25495
Kia,2016,46251,Automatic,8995
Nissan,2019,13651,CVT,12995
Cadillac,2019,4127,Automatic,21950
Chrysler,2015,67084,Automatic,7999
INFINITI,2006,19308,Automatic,5600
Jaguar,2016,5845,Automatic,28998
Lincoln,2018,1665,Automatic,28988
Kia,2020,25063,Automatic,35220
Hyundai,2016,31525,Automatic,9900
Nissan,2019,2122,CVT,11990
Chevrolet,2019,26553,Automatic,9990
Volkswagen,2015,43343,Automatic,9995
Toyota,2019,1832,Automatic,20992
Nissan,2019,7403,CVT,17799
Subaru,2017,77369,Automatic,14989
Nissan,2017,37731,Automatic,26739
Land,2005,92995,Automatic,7099
BMW,2000,93322,Manual,6500
Lamborghini,2020,6179,Automatic,237990
Toyota,2006,830,Automatic,7999
MINI,2020,2703,Automatic,28085
Mercedes-Benz,2017,48243,Automatic,59980
Ford,2009,125764,Automatic,14999
Volkswagen,2016,52999,Automatic,11000
Mercedes-Benz,2016,22627,Automatic,23999
Chevrolet,2017,32008,Automatic,7995
Mazda,2014,183366,Automatic,4999
Buick,2008,98527,Automatic,2999
Lincoln,2020,4882,Automatic,46500
Hummer,2007,193717,Automatic,21900
Lincoln,2006,116852,Automatic,11999
Chevrolet,2016,798,Automatic,9500
Lexus,2014,96817,Automatic,23999
Jaguar,2018,24249,Automatic,20900
Kia,2017,3604,Automatic,8500
Lexus,2005,106941,Automatic,12950
Honda,2012,85277,Automatic,5999
Lincoln,2019,17944,Automatic,36999
Toyota,2015,95084,CVT,18014
Dodge,2007,176221,Automatic,12500
Saturn,2008,45696,Automatic,11999
Nissan,2017,65316,CVT,10491
Lincoln,2005,174029,Automatic,3995
Mazda,2009,131566,Manual,10950
Cadillac,2010,118783,Automatic,7856
Mercedes-Benz,2012,50421,Automatic,17966
BMW,2016,52746,Automatic,57995
Chrysler,2015,7586,Automatic,11997
Mercedes-Benz,2015,19871,Automatic,48997
Pontiac,2005,163143,Automatic,4550
Hummer,2003,71358,Automatic,78000
Porsche,2015,39593,Automatic,36888
Dodge,2006,72114,Automatic,17995
Ford,2017,29694,Manual,13900
Mercedes-Benz,2012,12654,Automatic,13995
Volkswagen,2019,43038,Automatic,23900
Mercury,2008,15405,Automatic,10000
Mazda,2018,29033,Automatic,12999
Isuzu,1984,140757,Manual,5100
Mitsubishi,2002,154202,Automatic,4700
BMW,2015,42762,Automatic,58995
Chevrolet,2008,128343,Automatic,16980
INFINITI,2012,182042,Automatic,11999
Mercedes-Benz,2019,1014,Automatic,24995
Jeep,2015,92894,Automatic,9995
Hyundai,2019,1227,Automatic,25995
Jeep,2017,45049,Automatic,38998
