brand,years,mileage,transmission,price
Lexus,2018,22928,Automatic,54695
Buick,2015,128556,Automatic,8995
Chevrolet,2017,32008,Automatic,7995
Nissan,2014,97031,Automatic,3500
BMW,2019,679,Automatic,66990
GMC,2016,46042,Automatic,13477
Mercedes-Benz,2010,161397,Automatic,7490
Volvo,2006,186654,Automatic,4598
Ford,2011,18628,Automatic,1999
INFINITI,2009,168984,Automatic,2999
Chevrolet,2013,104234,Automatic,2999
Volkswagen,2011,127803,Automatic,4999
Lincoln,2020,4882,Automatic,46500
Ford,2008,67509,Automatic,9000
Honda,2017,3316,CVT,13995
Lexus,2014,96817,Automatic,23999
Chevrolet,2016,798,Automatic,9500
Honda,2012,85277,Automatic,5999
Cadillac,2006,100875,Automatic,17995
Ford,2017,2266,Manual,38899
BMW,2016,17152,Automatic,69995
Nissan,1994,146129,Automatic,5999
Buick,2010,71842,Automatic,8689
Dodge,2007,176221,Automatic,12500
Saturn,2008,45696,Automatic,11999
Mercury,2003,253446,Automatic,9980
Jeep,2016,107838,Automatic,9491
Scion,2012,68839,Automatic,8791
Buick,2017,29742,Automatic,16777
Lincoln,2017,29194,CVT,19795
Mercedes-Benz,2016,4119,Automatic,78997
Mazda,2009,131566,Manual,10950
Hyundai,2014,154532,Automatic,13980
FIAT,2015,52626,Automatic,7500
Nissan,2011,99433,CVT,12995
Ford,2008,113389,Automatic,4985
Hyundai,2013,92283,Automatic,14750
Audi,2018,1866,Automatic,49450
Chevrolet,2016,3254,CVT,6999
Nissan,1996,299528,Automatic,6995
Mercedes-Benz,2006,18109,Automatic,6500
Lamborghini,2020,131938,Automatic,239900
Dodge,2006,72114,Automatic,17995
INFINITI,2016,5558,Automatic,16000
Buick,2009,57055,Automatic,8490
Chevrolet,2008,128343,Automatic,16980
Toyota,2018,50439,CVT,14995
Volkswagen,2002,229192,Automatic,5900
Mercedes-Benz,2016,7567,Automatic,68800
Mercedes-Benz,2008,226082,Automatic,3995
Mazda,2001,1883,Automatic,1900
GMC,2006,182705,Automatic,3995
Land,2006,190843,Automatic,4250
Buick,2018,3282,Automatic,18000
Honda,2018,17813,Manual,28495
Mitsubishi,2015,327,CVT,8500
Hyundai,2019,22806,Automatic,24922
Hummer,2003,140322,Automatic,16775
Kia,2012,165809,Manual,5980
Volkswagen,2006,170417,Automatic,7777
Lamborghini,2019,944483,Automatic,235887
Maserati,2017,35401,Automatic,37500
Chevrolet,2014,120308,Automatic,7999
Acura,2017,379,Automatic,35995
Mercedes-Benz,2017,54616,Automatic,35998
Buick,1995,65969,Automatic,13900
Chrysler,2005,127714,Manual,6880
Cadillac,2019,11168,Automatic,27049
Ford,2006,65358,Other/Unknown,9900
Genesis,2018,38053,Automatic,24993
Chrysler,2005,108854,Automatic,5705
Nissan,1990,160746,Automatic,5995
Ford,2016,35161,Manual,25495
